id_atividade,claude-3-haiku-20240307,gpt-4o-mini,diff_modelos,diff_modelos_abs
Administrador | Avaliar viabilidade de projetos,2.0,2.0,0.0,0.0
Administrador | Demonstrar capacidade de comunicação,2.0,2.0,0.0,0.0
Administrador | Estabelecer metodologia de avaliação,2.0,2.0,0.0,0.0
Administrador | Estabelecer rotinas de trabalho,2.0,2.0,0.0,0.0
Administrador | Trabalhar em equipe,2.0,1.0,-1.0,1.0
Advogado | Agir com ética,1.0,0.0,-1.0,1.0
"Advogado | Analisar, fatos, relatórios e documentos",2.0,2.0,0.0,0.0
Advogado | Cumprir prazos legais,2.0,1.0,-1.0,1.0
Advogado | Demonstrar criatividade,1.0,1.0,0.0,0.0
Advogado | Realizar audiências trabalhistas,1.0,0.5,-0.5,0.5
Analista de desenvolvimento de sistemas | Atender chamados/tickets (incidentes),2.0,2.0,0.0,0.0
Analista de desenvolvimento de sistemas | Demonstrar capacidade de trabalhar sob pressão,1.0,0.0,-1.0,1.0
Analista de desenvolvimento de sistemas | Elaborar dicionário de dados,2.0,3.0,1.0,1.0
Analista de desenvolvimento de sistemas | Identificar riscos,2.0,2.0,0.0,0.0
Analista de desenvolvimento de sistemas | Testar sistemas,2.0,2.0,0.0,0.0
Analista de logistica | Definir prazos,2.0,2.0,0.0,0.0
Analista de logistica | Demonstrar capacidade de administrar o tempo,2.0,1.0,-1.0,1.0
Analista de logistica | Demonstrar capacidade de iniciativa,2.0,1.0,-1.0,1.0
Analista de logistica | Dimensionar necessidade de materiais,2.0,2.0,0.0,0.0
Analista de logistica | Selecionar informações,2.0,2.0,0.0,0.0
Analista de pesquisa de mercado | Acompanhar atuação da concorrência,2.0,2.0,0.0,0.0
Analista de pesquisa de mercado | Demonstrar capacidade de abstração,2.0,1.0,-1.0,1.0
Analista de pesquisa de mercado | Demonstrar capacidade de flexibilidade,2.0,1.0,-1.0,1.0
"Analista de pesquisa de mercado | Relacionar-se com a mídia, órgãos governamentais, entidades de classe e associações, entre outros",2.0,1.0,-1.0,1.0
Analista de pesquisa de mercado | Subsidiar desenvolvimento e/ou melhorias de processos,2.0,2.0,0.0,0.0
Analista de planejamento e orçamento - apo | Administrar conflitos,1.0,1.0,0.0,0.0
Analista de planejamento e orçamento - apo | Avaliar processo orçamentário,2.0,2.0,0.0,0.0
Analista de planejamento e orçamento - apo | Demonstrar pró-atividade,2.0,1.0,-1.0,1.0
Analista de planejamento e orçamento - apo | Desenvolver sistema de indicadores,2.0,2.0,0.0,0.0
Analista de planejamento e orçamento - apo | Subsidiar elaboração de diretrizes de política fiscal,2.0,1.5,-0.5,0.5
Analista de recursos humanos | Coordenar eventos sociais da empresa,1.0,1.0,0.0,0.0
Analista de recursos humanos | Indicar testemunhas para depor em causas trabalhistas,1.0,1.0,0.0,0.0
Analista de recursos humanos | Orientar empregados sobre benefícios,2.0,2.0,0.0,0.0
Analista de recursos humanos | Preparar multiplicadores para treinamento,2.0,2.0,0.0,0.0
Analista de recursos humanos | Propor ações corretivas resultantes da avaliação,2.0,2.0,0.0,0.0
"Analista financeiro (instituições financeiras) | Apurar taxas médias, prazos e saldos médios das carteiras",2.5,2.0,-0.5,0.5
Analista financeiro (instituições financeiras) | Assegurar implantação de normas locais e da matriz,2.0,1.0,-1.0,1.0
Analista financeiro (instituições financeiras) | Demonstrar capacidade de comunicação oral e escrita,2.0,2.0,0.0,0.0
Analista financeiro (instituições financeiras) | Demonstrar capacidade de síntese,2.0,2.0,0.0,0.0
Analista financeiro (instituições financeiras) | Determinar indicadores financeiros (performance),2.0,2.0,0.0,0.0
