ocupacao,atividade,modelo,rodada,score,justificativa,timestamp
Analista de planejamento e orçamento - apo,Subsidiar elaboração de diretrizes de política fiscal,gpt-4o-mini,1,2.00,"LLM pode auxiliar na elaboração, mas requer julgamento humano.",2026-03-13T21:38:53Z
Analista de planejamento e orçamento - apo,Subsidiar elaboração de diretrizes de política fiscal,gpt-4o-mini,2,2.00,"LLM pode auxiliar na elaboração, mas requer julgamento humano.",2026-03-13T21:38:54Z
Analista de planejamento e orçamento - apo,Subsidiar elaboração de diretrizes de política fiscal,claude-3-haiku-20240307,1,2.00,A atividade exige julgamento humano complexo e interação humana.,2026-03-13T21:38:55Z
Analista de planejamento e orçamento - apo,Subsidiar elaboração de diretrizes de política fiscal,claude-3-haiku-20240307,2,2.00,A atividade exige julgamento humano complexo e interação humana.,2026-03-13T21:38:55Z
Analista de planejamento e orçamento - apo,Avaliar processo orçamentário,gpt-4o-mini,1,2.00,"LLM pode auxiliar na análise, mas julgamento humano é necessário.",2026-03-13T21:38:57Z
Analista de planejamento e orçamento - apo,Avaliar processo orçamentário,gpt-4o-mini,2,2.00,"LLM pode auxiliar na análise, mas julgamento humano é necessário.",2026-03-13T21:38:57Z
Analista de planejamento e orçamento - apo,Avaliar processo orçamentário,claude-3-haiku-20240307,1,2.00,A atividade combina etapas padronizadas com etapas que exigem julgamento humano.,2026-03-13T21:38:58Z
Analista de planejamento e orçamento - apo,Avaliar processo orçamentário,claude-3-haiku-20240307,2,2.00,A atividade combina etapas padronizadas com etapas que exigem julgamento humano.,2026-03-13T21:38:59Z
Analista de planejamento e orçamento - apo,Administrar conflitos,gpt-4o-mini,1,1.00,"LLM não executa conflitos, requer julgamento e interação humana.",2026-03-13T21:38:59Z
Analista de planejamento e orçamento - apo,Administrar conflitos,gpt-4o-mini,2,1.00,"LLM não executa conflitos, requer julgamento e interação humana.",2026-03-13T21:39:00Z
Analista de planejamento e orçamento - apo,Administrar conflitos,claude-3-haiku-20240307,1,1.00,O núcleo da atividade exige julgamento humano complexo e interação humana.,2026-03-13T21:39:01Z
Analista de planejamento e orçamento - apo,Administrar conflitos,claude-3-haiku-20240307,2,1.00,O núcleo da atividade exige julgamento humano complexo e interação humana.,2026-03-13T21:39:02Z
Analista de planejamento e orçamento - apo,Desenvolver sistema de indicadores,gpt-4o-mini,1,2.00,"LLM pode ajudar na estruturação, mas julgamento humano é necessário.",2026-03-13T21:39:02Z
Analista de planejamento e orçamento - apo,Desenvolver sistema de indicadores,gpt-4o-mini,2,2.00,"LLM pode ajudar na estruturação, mas julgamento humano é necessário.",2026-03-13T21:39:03Z
Analista de planejamento e orçamento - apo,Desenvolver sistema de indicadores,claude-3-haiku-20240307,1,2.00,A atividade combina etapas descritíveis com etapas que exigem julgamento humano.,2026-03-13T21:39:04Z
