id_atividade,claude-3-haiku-20240307,gpt-4o-mini,diff_modelos,diff_modelos_abs
Jornalista | Ler livros,2.0,0.0,-2.0,2.0
"Operador de máquinas fixas, em geral | Trabalhar com atenção",2.0,0.5,-1.5,1.5
Analista de logistica | Demonstrar capacidade de iniciativa,2.0,1.0,-1.0,1.0
Analista de desenvolvimento de sistemas | Elaborar dicionário de dados,2.0,3.0,1.0,1.0
Administrador | Trabalhar em equipe,2.0,1.0,-1.0,1.0
Advogado | Agir com ética,1.0,0.0,-1.0,1.0
Analista de logistica | Demonstrar capacidade de administrar o tempo,2.0,1.0,-1.0,1.0
Analista de pesquisa de mercado | Demonstrar capacidade de abstração,2.0,1.0,-1.0,1.0
Desenhista industrial gráfico (designer gráfico) | Solicitar parecer de outros profissionais,2.0,1.0,-1.0,1.0
Enfermeiro | Monitorar processo de trabalho,2.0,1.0,-1.0,1.0
Eletricista de instalações | Preencher requisição de material,2.0,1.0,-1.0,1.0
Eletricista de instalações | Organizar equipamentos e ferramentas,2.0,1.0,-1.0,1.0
Eletricista de instalações | Instalar condutores e acessórios,2.0,1.0,-1.0,1.0
Eletricista de instalações | Emendar condutores elétricos,2.0,1.0,-1.0,1.0
Analista financeiro (instituições financeiras) | Assegurar implantação de normas locais e da matriz,2.0,1.0,-1.0,1.0
Analista de planejamento e orçamento - apo | Demonstrar pró-atividade,2.0,1.0,-1.0,1.0
"Contador | Utilizar fax, telefone,internet e intranet",2.0,1.0,-1.0,1.0
Assistente administrativo | Providenciar devolução de material fora de especificação,2.0,1.0,-1.0,1.0
"Analista de pesquisa de mercado | Relacionar-se com a mídia, órgãos governamentais, entidades de classe e associações, entre outros",2.0,1.0,-1.0,1.0
Analista de pesquisa de mercado | Demonstrar capacidade de flexibilidade,2.0,1.0,-1.0,1.0
