ocupacao,atividade,modelo,rodada,score,justificativa,timestamp
Analista de planejamento e orçamento - apo,Subsidiar elaboração de diretrizes de política fiscal,gpt-4o-mini,1,2.00,"LLM pode auxiliar na elaboração, mas requer julgamento humano.",2026-03-13T21:45:00Z
Analista de planejamento e orçamento - apo,Subsidiar elaboração de diretrizes de política fiscal,gpt-4o-mini,2,1.00,Núcleo exige julgamento humano complexo e interação contextual.,2026-03-13T21:45:01Z
Analista de planejamento e orçamento - apo,Subsidiar elaboração de diretrizes de política fiscal,claude-3-haiku-20240307,1,2.00,A atividade exige julgamento humano complexo e interação humana.,2026-03-13T21:45:01Z
Analista de planejamento e orçamento - apo,Subsidiar elaboração de diretrizes de política fiscal,claude-3-haiku-20240307,2,2.00,A atividade exige julgamento humano complexo e interação humana.,2026-03-13T21:45:02Z
Analista de planejamento e orçamento - apo,Avaliar processo orçamentário,gpt-4o-mini,1,2.00,"LLM pode auxiliar na análise, mas julgamento humano é necessário.",2026-03-13T21:45:03Z
Analista de planejamento e orçamento - apo,Avaliar processo orçamentário,gpt-4o-mini,2,2.00,"LLM pode auxiliar na análise, mas julgamento humano é necessário.",2026-03-13T21:45:04Z
Analista de planejamento e orçamento - apo,Avaliar processo orçamentário,claude-3-haiku-20240307,1,2.00,A atividade combina etapas padronizadas com etapas que exigem julgamento humano.,2026-03-13T21:45:05Z
Analista de planejamento e orçamento - apo,Avaliar processo orçamentário,claude-3-haiku-20240307,2,2.00,A atividade combina etapas padronizadas com etapas que exigem julgamento humano.,2026-03-13T21:45:06Z
Analista de planejamento e orçamento - apo,Administrar conflitos,gpt-4o-mini,1,1.00,Núcleo exige julgamento humano e interação complexa significativa.,2026-03-13T21:45:06Z
Analista de planejamento e orçamento - apo,Administrar conflitos,gpt-4o-mini,2,1.00,Núcleo exige julgamento humano e interação complexa significativa.,2026-03-13T21:45:07Z
Analista de planejamento e orçamento - apo,Administrar conflitos,claude-3-haiku-20240307,1,1.00,O núcleo da atividade exige julgamento humano complexo e interação humana.,2026-03-13T21:45:08Z
Analista de planejamento e orçamento - apo,Administrar conflitos,claude-3-haiku-20240307,2,1.00,O núcleo da atividade exige julgamento humano complexo e interação humana.,2026-03-13T21:45:08Z
Analista de planejamento e orçamento - apo,Desenvolver sistema de indicadores,gpt-4o-mini,1,2.00,"LLM pode ajudar na estruturação, mas julgamento humano é necessário.",2026-03-13T21:45:09Z
Analista de planejamento e orçamento - apo,Desenvolver sistema de indicadores,gpt-4o-mini,2,2.00,"LLM pode ajudar na estruturação, mas julgamento humano é necessário.",2026-03-13T21:45:09Z
Analista de planejamento e orçamento - apo,Desenvolver sistema de indicadores,claude-3-haiku-20240307,1,2.00,A atividade combina etapas descritíveis com etapas que exigem julgamento humano.,2026-03-13T21:45:10Z
Analista de planejamento e orçamento - apo,Desenvolver sistema de indicadores,claude-3-haiku-20240307,2,2.00,A atividade combina etapas descritíveis com etapas que exigem julgamento humano.,2026-03-13T21:45:11Z
Analista de planejamento e orçamento - apo,Demonstrar pró-atividade,gpt-4o-mini,1,1.00,Núcleo exige julgamento humano e interação complexa.,2026-03-13T21:45:11Z
Analista de planejamento e orçamento - apo,Demonstrar pró-atividade,gpt-4o-mini,2,1.00,Núcleo exige julgamento humano e interação complexa.,2026-03-13T21:45:13Z
Analista de planejamento e orçamento - apo,Demonstrar pró-atividade,claude-3-haiku-20240307,1,2.00,"A atividade exige julgamento humano e interação complexa, embora possa ser parcialmente",2026-03-13T21:45:13Z
Analista de planejamento e orçamento - apo,Demonstrar pró-atividade,claude-3-haiku-20240307,2,2.00,"A atividade exige julgamento humano e interação complexa, embora possa ser parcialmente",2026-03-13T21:45:14Z
Assistente administrativo,Demonstrar capacidade de adaptação de linguagem,gpt-4o-mini,1,2.00,"LLM adapta linguagem, mas requer julgamento humano e contexto.",2026-03-13T21:45:15Z
